symbol,organ_name,icb_name,exchange
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Nguyên vật liệu,HOSE
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Công nghiệp,UPCOM
AAM,Công ty Cổ Phần Thủy Sản MeKong,Hàng Tiêu dùng,HOSE
CTN,Công ty Cổ phần Xây dựng Công trình ngầm,Công nghiệp,UPCOM
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Công nghiệp,UPCOM
ATB,Công ty Cổ phần An Thịnh,Công nghiệp,UPCOM
CVN,Công ty Cổ phần Vinam,Dược phẩm và Y tế,UPCOM
SGP,Công ty Cổ phần Cảng Sài Gòn,Công nghiệp,UPCOM
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công nghiệp,UPCOM
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Hàng Tiêu dùng,UPCOM
CTP,Công ty Cổ phần Hoà Bình Takara,Hàng Tiêu dùng,HNX
DAN,Công ty Cổ phần Dược Danapha,Dược phẩm và Y tế,UPCOM
TTS,Công ty Cổ phần Cán thép Thái Trung,Nguyên vật liệu,UPCOM
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,Tiện ích Cộng đồng,UPCOM
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm và Y tế,HOSE
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,HOSE
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Nguyên vật liệu,HOSE
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công nghiệp,UPCOM
DLD,Công ty Cổ phần Du lịch Đắk Lắk,Dịch vụ Tiêu dùng,UPCOM
BMJ,Công ty Cổ phần Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCOM
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Công nghiệp,HOSE
DNW,Công ty Cổ phần Cấp nước Đồng Nai,Tiện ích Cộng đồng,UPCOM
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Công nghiệp,HNX
VDG,Công ty Cổ phần Vạn Đạt Group,Hàng Tiêu dùng,UPCOM
DMN,Công ty Cổ phần Domenal,Hàng Tiêu dùng,UPCOM
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,HOSE
DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Công nghiệp,UPCOM
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Nguyên vật liệu,UPCOM
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,Tiện ích Cộng đồng,UPCOM
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Công nghiệp,HOSE
CK8,Công ty Cổ phần Cơ khí 120,Tài chính,UPCOM
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Nguyên vật liệu,HOSE
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Công nghiệp,UPCOM
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Tiện ích Cộng đồng,UPCOM
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công nghiệp,UPCOM
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng Tiêu dùng,UPCOM
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Công nghiệp,UPCOM
CMI,Công ty Cổ phần CMISTONE Việt Nam,Công nghiệp,UPCOM
DVG,Công ty Cổ phần Đại Việt Group DVG,Công nghiệp,UPCOM
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Hàng Tiêu dùng,UPCOM
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,HOSE
TDB,Công ty Cổ phần Thủy điện Định Bình,Tiện ích Cộng đồng,UPCOM
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công nghiệp,HOSE
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Dược phẩm và Y tế,UPCOM
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công nghiệp,HOSE
DDM,Công ty Cổ phần Hàng hải Đông Đô,Công nghiệp,UPCOM
CCR,Công ty Cổ phần Cảng Cam Ranh,Công nghiệp,HNX
DDV,Công ty Cổ phần DAP - Vinachem,Nguyên vật liệu,UPCOM
CKG,Công ty Cổ phần Tập đoàn CIC,Tài chính,HOSE
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Hàng Tiêu dùng,UPCOM
DHC,Công ty Cổ phần Đông Hải Bến Tre,Nguyên vật liệu,HOSE
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Tài chính,HOSE
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm và Y tế,HOSE
AAV,Công ty Cổ phần AAV Group,Tài chính,HNX
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công nghiệp,HOSE
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công nghiệp,UPCOM
BMP,Công ty Cổ phần Nhựa Bình Minh,Công nghiệp,HOSE
CTT,Công ty Cổ phần Chế tạo máy - Vinacomin,Công nghiệp,HNX
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Tiện ích Cộng đồng,HNX
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Hàng Tiêu dùng,HNX
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Công nghiệp,HOSE
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,UPCOM
BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Tài chính,UPCOM
CCT,Công ty Cổ phần Cảng Cần Thơ,Công nghiệp,UPCOM
NSS,Công ty Cổ phần Nông súc sản Đồng Nai,Hàng Tiêu dùng,UPCOM
MBN,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Công nghiệp,UPCOM
BOT,Công ty Cổ phần BOT Cầu Thái Hà,Công nghiệp,UPCOM
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Công nghiệp,HNX
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Hàng Tiêu dùng,UPCOM
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Tài chính,UPCOM
BRC,Công ty Cổ phần Cao su Bến Thành,Nguyên vật liệu,HOSE
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Hàng Tiêu dùng,UPCOM
HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Công nghiệp,UPCOM
CEO,Công ty Cổ phần Tập đoàn C.E.O,Tài chính,HNX
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Công nghiệp,UPCOM
DMS,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,Tiện ích Cộng đồng,UPCOM
DPC,Công ty Cổ phần Nhựa Đà Nẵng,Công nghiệp,UPCOM
AMC,Công ty Cổ phần Khoáng sản Á Châu,Nguyên vật liệu,HNX
AVC,Công ty Cổ phần Thủy điện A Vương,Tiện ích Cộng đồng,UPCOM
CFM,Công ty Cổ phần Đầu tư CFM,Công nghiệp,UPCOM
DRC,Công ty Cổ phần Cao su Đà Nẵng,Hàng Tiêu dùng,HOSE
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Tài chính,UPCOM
DTC,Công ty Cổ phần Viglacera Đông Triều,Công nghiệp,UPCOM
KCB,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Nguyên vật liệu,UPCOM
DTL,Công ty Cổ phần Đại Thiên Lộc,Nguyên vật liệu,HOSE
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,HOSE
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Dịch vụ Tiêu dùng,HNX
BSC,Công ty Cổ phần Dịch vụ Bến Thành,Tài chính,HNX
AME,Công ty cổ phần Alphanam E&C,Công nghiệp,HNX
TIN,Công ty Tài chính tổng hợp cổ phần Tín Việt,Tài chính,UPCOM
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Công nghiệp,UPCOM
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược phẩm và Y tế,HNX
RGG,Công ty Cổ phần Regal Group,Tài chính,UPCOM
DID,Công ty Cổ phần DIC - Đồng Tiến,Công nghiệp,UPCOM
BHI,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tài chính,UPCOM
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Tài chính,HOSE
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,HOSE
BSI,Công ty Cổ phần Chứng khoán BIDV,Tài chính,HOSE
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE
VSM,Công ty Cổ phần Container Miền Trung,Công nghiệp,HNX
CMP,Công ty Cổ phần Cảng Chân Mây,Công nghiệp,UPCOM
EMS,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Công nghiệp,UPCOM
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Công nghiệp,UPCOM
BCV,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ Tiêu dùng,UPCOM
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Công nghệ Thông tin,HOSE
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,Tài chính,HOSE
DCR,Công ty Cổ phần Gạch men COSEVCO,Công nghiệp,UPCOM
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Hàng Tiêu dùng,HNX
BRR,Công ty Cổ phần Cao su Bà Rịa,Nguyên vật liệu,UPCOM
DC4,Công ty Cổ phần Dicera Holdings,Công nghiệp,HOSE
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Tài chính,UPCOM
NCG,Công ty Cổ phần Tập đoàn Nova Consumer,Hàng Tiêu dùng,UPCOM
TSA,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,Công nghiệp,UPCOM
THM,Công ty Cổ phần Tứ Hải Hà Nam,Hàng Tiêu dùng,UPCOM
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Công nghiệp,HNX
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ Tiêu dùng,HNX
ABW,Công ty Cổ phần Chứng khoán An Bình,Tài chính,UPCOM
CSC,Công ty Cổ phần Tập đoàn COTANA,Công nghiệp,HNX
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Hàng Tiêu dùng,UPCOM
BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Công nghiệp,HNX
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,Nguyên vật liệu,HOSE
DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,Công nghiệp,UPCOM
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Công nghiệp,UPCOM
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Công nghiệp,HNX
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Công nghiệp,UPCOM
ANV,Công ty Cổ phần Nam Việt,Hàng Tiêu dùng,HOSE
BCB,Công ty Cổ phần 397,Nguyên vật liệu,UPCOM
CCM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Công nghiệp,UPCOM
DCS,Công ty Cổ phần Tập đoàn EDX,Hàng Tiêu dùng,UPCOM
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Tài chính,HOSE
DNM,Tổng Công ty Cổ phần Y tế Danameco,Dược phẩm và Y tế,UPCOM
CNG,Công ty Cổ phần CNG Việt Nam,Tiện ích Cộng đồng,HOSE
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Hàng Tiêu dùng,HOSE
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Hàng Tiêu dùng,HOSE
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công nghiệp,HOSE
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp,HOSE
DNP,Công ty Cổ phần DNP Holding,Công nghiệp,HNX
BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,Tài chính,HOSE
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,HOSE
BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,Công nghiệp,HNX
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Dịch vụ Tiêu dùng,HOSE
DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Công nghiệp,UPCOM
AAH,Công ty Cổ phần Hợp Nhất,Nguyên vật liệu,UPCOM
DDB,Công ty Cổ Phần Thương Mại Và Xây Dựng Đông Dương,Công nghiệp,UPCOM
DP2,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm và Y tế,UPCOM
BGE,Công ty Cổ phần BCG Energy,Tiện ích Cộng đồng,UPCOM
DFF,Công ty Cổ phần Tập đoàn Đua Fat,Công nghiệp,UPCOM
COM,Công ty Cổ phần Vật tư Xăng dầu,Dịch vụ Tiêu dùng,HOSE
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,Dịch vụ Tiêu dùng,HNX
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Hàng Tiêu dùng,UPCOM
CDC,Công ty Cổ phần Chương Dương,Công nghiệp,HOSE
UDL,Công ty Cổ phần Đô thị và Môi trường Đắk Lắk,Công nghiệp,UPCOM
BTW,Công ty Cổ phần Cấp nước Bến Thành,Tiện ích Cộng đồng,HNX
BCP,Công ty Cổ phần Dược Enlie,Dược phẩm và Y tế,UPCOM
CTA,Công ty Cổ phần Vinavico,Công nghiệp,UPCOM
DSE,Công ty Cổ phần Chứng khoán DNSE,Tài chính,HOSE
DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Nguyên vật liệu,UPCOM
DZM,Công ty Cổ phần Cơ điện Dzĩ An,Công nghiệp,UPCOM
ADS,Công ty Cổ phần DAMSAN,Hàng Tiêu dùng,HOSE
FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,Hàng Tiêu dùng,UPCOM
APG,Công ty Cổ phần Chứng khoán APG,Tài chính,HOSE
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,Công nghiệp,UPCOM
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Hàng Tiêu dùng,UPCOM
MVC,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Công nghiệp,UPCOM
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Hàng Tiêu dùng,HOSE
ICN,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,Công nghiệp,UPCOM
CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Công nghiệp,UPCOM
CBI,Công ty Cổ phần Gang thép Cao Bằng,Nguyên vật liệu,UPCOM
FCN,Công ty Cổ phần FECON,Công nghiệp,HOSE
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Công nghiệp,HOSE
BVG,Công ty Cổ phần Group Bắc Việt,Nguyên vật liệu,UPCOM
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Công nghiệp,UPCOM
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Nguyên vật liệu,UPCOM
BVH,Tập đoàn Bảo Việt,Tài chính,HOSE
FIT,Công ty Cổ phần Tập đoàn F.I.T,Dược phẩm và Y tế,HOSE
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Công nghiệp,UPCOM
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Tài chính,HOSE
FIR,Công ty Cổ phần Địa ốc First Real,Tài chính,HOSE
ART,Công ty Cổ phần Chứng khoán ARTEX,Tài chính,UPCOM
FBC,Công ty Cổ phần Cơ khí Phổ Yên,Công nghiệp,UPCOM
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược phẩm và Y tế,HNX
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng Tiêu dùng,HOSE
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,Công nghiệp,UPCOM
TOS,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dầu khí,UPCOM
BFC,Công ty Cổ phần Phân bón Bình Điền,Nguyên vật liệu,HOSE
TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Dược phẩm và Y tế,HOSE
ICT,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Công nghệ Thông tin,HOSE
BSA,Công ty Cổ phần Thủy điện Buôn Đôn,Tiện ích Cộng đồng,UPCOM
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Tiện ích Cộng đồng,UPCOM
DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Tiện ích Cộng đồng,UPCOM
FT1,Công ty Cổ phần Phụ tùng máy số 1,Công nghiệp,UPCOM
FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Hàng Tiêu dùng,UPCOM
TW3,Công ty Cổ phần Dược Trung Ương 3,Dược phẩm và Y tế,UPCOM
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu,HNX
CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Công nghiệp,UPCOM
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Tài chính,UPCOM
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Công nghiệp,HNX
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCOM
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Tài chính,UPCOM
GGG,Công ty Cổ phần Ô tô Giải Phóng,Hàng Tiêu dùng,UPCOM
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,HOSE
ECI,Công ty Cổ phần Tập đoàn ECI,Dịch vụ Tiêu dùng,HNX
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Dịch vụ Tiêu dùng,HOSE
BDW,Công ty Cổ phần Cấp thoát nước Bình Định,Tiện ích Cộng đồng,UPCOM
GHC,Công ty Cổ phần Thủy điện Gia Lai,Tiện ích Cộng đồng,UPCOM
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Nguyên vật liệu,UPCOM
FGL,Công ty Cổ phần Cà phê Gia Lai,Hàng Tiêu dùng,UPCOM
BEL,Công ty Cổ phần Điện tử Biên Hòa,Hàng Tiêu dùng,UPCOM
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng Tiêu dùng,HOSE
NBT,Công ty Cổ phần Cấp thoát nước Bến Tre,Tiện ích Cộng đồng,UPCOM
GSM,Công ty Cổ phần Thủy điện Hương Sơn,Tiện ích Cộng đồng,UPCOM
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Công nghiệp,HOSE
DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm và Y tế,UPCOM
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,Nguyên vật liệu,HOSE
GAB,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,Công nghiệp,UPCOM
HID,Công ty Cổ phần Halcom Vietnam,Công nghiệp,HOSE
ACS,Công ty Cổ phần Xây lắp Thương mại 2,Công nghiệp,UPCOM
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,HOSE
AAS,Công ty Cổ phần Chứng khoán SmartInvest,Tài chính,UPCOM
BIG,Công ty Cổ phần Đầu tư BIG Group Holdings,Hàng Tiêu dùng,UPCOM
GMD,Công ty Cổ phần Gemadept,Công nghiệp,HOSE
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
LDW,Công ty Cổ phần Cấp thoát nước Lâm Đồng,Tiện ích Cộng đồng,UPCOM
FHS,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Dịch vụ Tiêu dùng,UPCOM
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Hàng Tiêu dùng,UPCOM
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Nguyên vật liệu,HOSE
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Công nghiệp,UPCOM
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Dịch vụ Tiêu dùng,HNX
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Dịch vụ Tiêu dùng,HNX
HAS,Công ty Cổ phần Hacisco,Công nghiệp,HOSE
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tài chính,HOSE
CMM,Công ty Cổ phần Camimex,Hàng Tiêu dùng,UPCOM
